,Group,Sort_day,ID,Tissue,Chain,median,lq,uq
1,Control,Day_of,7,IEL,TRD,1.652113525,1.598311698,1.704672303
2,Control,Day_of,7,IEL,TRG,0.167944148,0.167944148,0.226967523
3,Control,Day_of,7,PBL,TRD,1.166514489,1.076434751,1.250343458
4,Control,Day_of,7,PBL,TRG,0.443306691,0.39238414,0.488400434
5,Control,Day_of,13,IEL,TRD,2.706615217,2.665798044,2.754104223
6,Control,Day_of,13,IEL,TRG,2.062462532,2.026037988,2.101190546
7,Control,Day_of,13,PBL,TRD,3.025104819,2.964889654,3.0882048
8,Control,Day_of,13,PBL,TRG,2.658472568,2.611006938,2.692732681
9,Control,Day_after,40,IEL,TRD,1.103061823,1.022794226,1.199068494
10,Control,Day_after,40,IEL,TRG,1.568567095,1.502875465,1.613660938
11,Control,Day_after,40,PBL,TRD,0.861091328,0.857754126,0.939113382
12,Control,Day_after,40,PBL,TRG,0.760468802,0.701384593,0.805455614
13,Control,Day_after,53,IEL,TRD,3.294715484,3.247683574,3.343371297
14,Control,Day_after,53,IEL,TRG,2.311497948,2.282718155,2.345414051
15,Control,Day_after,53,PBL,TRD,1.534230034,1.386352695,1.618629947
16,Control,Day_after,53,PBL,TRG,1.408045142,1.338620458,1.481242382
17,Control,Day_after,106,IEL,TRD,1.23613973,1.190489439,1.280600858
18,Control,Day_after,106,IEL,TRG,0.519134671,0.519134671,0.519134671
19,Control,Day_after,110,IEL,TRD,2.413801056,2.338908702,2.46397755
20,Control,Day_after,110,IEL,TRG,0.471032579,0.420992336,0.516447115
21,Control,Day_after,110,PBL,TRD,2.04077262,1.953578047,2.088863838
22,Control,Day_after,110,PBL,TRG,1.775314791,1.759104744,1.788175898
23,Active,Day_of,22,IEL,TRD,2.195155594,2.145525611,2.242758641
24,Active,Day_of,22,IEL,TRG,0.594197196,0.529749227,0.658944498
25,Active,Day_of,22,PBL,TRD,1.339336743,1.276546966,1.421396201
26,Active,Day_of,22,PBL,TRG,1.292260294,1.237798216,1.335890218
27,Active,Day_after,35,IEL,TRD,0.412977911,0.366924991,0.499953105
28,Active,Day_after,35,IEL,TRG,0.195670035,0.098039113,0.195670035
29,Active,Day_after,35,PBL,TRD,1.803916353,1.733546358,1.843076867
30,Active,Day_after,35,PBL,TRG,1.365229515,1.312508453,1.408208364
31,Active,Day_of,46,IEL,TRD,0.767335913,0.716483428,0.847884297
32,Active,Day_of,46,IEL,TRG,0.847211016,0.775161796,0.955015975
33,Active,Day_of,46,PBL,TRD,1.855679521,1.779694238,1.944330136
34,Active,Day_of,46,PBL,TRG,1.575323474,1.518796471,1.633091356
35,Active,Day_after,47,IEL,TRD,2.840123161,2.776702165,2.893520328
36,Active,Day_after,47,IEL,TRG,2.182369095,2.139188294,2.220341064
37,Active,Day_after,47,PBL,TRD,0.66825372,0.66825372,0.66825372
38,Active,Day_after,47,PBL,TRG,0.784516104,0.760698515,0.84769557
39,Active,Day_of,51,IEL,TRD,3.464739808,3.43021796,3.51064387
40,Active,Day_of,51,IEL,TRG,3.387665894,3.334184702,3.418714675
41,Active,Day_of,51,PBL,TRD,2.713573583,2.632472426,2.77679144
42,Active,Day_of,51,PBL,TRG,2.25091969,2.208565532,2.289400581
43,Active,Day_of,81,IEL,TRD,0.526484353,0.448403663,0.58809115
44,Active,Day_of,81,IEL,TRG,0.323756183,0.25561066,0.375123216
45,Active,Day_of,81,PBL,TRD,0.098039113,0.098039113,0.195670035
46,Active,Day_of,81,PBL,TRG,0.881536967,0.830770744,0.908012039
47,GFD,Day_of,3,IEL,TRD,3.613834207,3.566231155,3.652025058
48,GFD,Day_of,3,IEL,TRG,3.332214119,3.285955012,3.38368726
49,GFD,Day_of,3,PBL,TRD,0.999696179,0.917720253,1.090871538
50,GFD,Day_of,3,PBL,TRG,1.345006864,1.283784394,1.408743477
51,GFD,Day_of,4,IEL,TRD,2.500011419,2.422721884,2.57633514
52,GFD,Day_of,4,IEL,TRG,2.289040362,2.229067447,2.342605081
53,GFD,Day_of,4,PBL,TRD,2.511773731,2.452655439,2.559703338
54,GFD,Day_of,4,PBL,TRG,0.098039113,0.098039113,0.195670035
55,GFD,Day_after,9,IEL,TRD,2.848805038,2.795649514,2.919941924
56,GFD,Day_after,9,IEL,TRG,2.886073208,2.818997077,2.946186893
57,GFD,Day_of,28,IEL,TRD,1.777597409,1.740001031,1.810078466
58,GFD,Day_of,28,IEL,TRG,0.098039113,0,0.098039113
59,GFD,Day_of,28,PBL,TRD,1.514881199,1.472735989,1.575341452
60,GFD,Day_of,28,PBL,TRG,1.058253766,1.030052451,1.13330931
61,GFD,Day_of,33,IEL,TRD,2.636880449,2.596443414,2.688705579
62,GFD,Day_of,33,IEL,TRG,2.437473643,2.35386565,2.488318234
63,GFD,Day_of,33,PBL,TRD,1.024512872,0.966765674,1.071920276
64,GFD,Day_of,33,PBL,TRG,0.776626523,0.716202216,0.819485129
65,GFD,Day_of,41,IEL,TRD,3.044490284,3.005171587,3.105656158
66,GFD,Day_of,41,IEL,TRG,2.597967363,2.547290973,2.623974668
67,GFD,Day_of,41,PBL,TRD,2.390814735,2.348903469,2.436032993
68,GFD,Day_of,41,PBL,TRG,1.515231047,1.469531094,1.562446901
69,GFD,Day_after,43,IEL,TRD,1.528410029,1.451885274,1.580093224
70,GFD,Day_after,43,IEL,TRG,1.28862175,1.230586324,1.39576323
