Group,ID,Tissue,Chain,Chain_Group,Frequency
Control,7,IEL,TRG,TRVG4,100
Control,7,PBL,TRG,TRVG4,0
Control,13,IEL,TRG,TRVG4,100
Control,13,PBL,TRG,TRVG4,12.69
Control,40,IEL,TRG,TRVG4,100
Control,40,PBL,TRG,TRVG4,0
Control,53,IEL,TRG,TRVG4,63.15
Control,53,PBL,TRG,TRVG4,0
Control,110,IEL,TRG,TRVG4,13.04
Control,110,PBL,TRG,TRVG4,19.6
Control,7,IEL,TRG,TRVG3_8_9,0
Control,7,PBL,TRG,TRVG3_8_9,100
Control,13,IEL,TRG,TRVG3_8_9,0
Control,13,PBL,TRG,TRVG3_8_9,68.4
Control,40,IEL,TRG,TRVG3_8_9,0
Control,40,PBL,TRG,TRVG3_8_9,100
Control,53,IEL,TRG,TRVG3_8_9,21
Control,53,PBL,TRG,TRVG3_8_9,91.25
Control,110,IEL,TRG,TRVG3_8_9,86.9
Control,110,PBL,TRG,TRVG3_8_9,64.7
